ID,活动名称,开始日期,结束日期,地点,观众数,花火数,详情链接
1,"第48回 隅田川花火大会","2025-07-26","2025-07-26","東京都墨田区 桜橋下流～言問橋上流(第一会場)、駒形橋下流～厩橋上流(第二会場)","","","https://hanabi.walkerplus.com/detail/ar0313e00858/"
2,"第59回 葛飾納涼花火大会","2025-07-22","2025-07-22","東京都葛飾区 葛飾区柴又野球場(江戸川河川敷)","","1万5000発","https://hanabi.walkerplus.com/detail/ar0313e00861/"
3,"第66回 いたばし花火大会","2025-08-02","2025-08-02","東京都板橋区  板橋区 荒川河川敷","","1万5000発","https://hanabi.walkerplus.com/detail/ar0313e00868/"
4,"第47回 足立の花火","2025-05-31","2025-05-31","東京都足立区 荒川河川敷(東京メトロ千代田線鉄橋～西新井橋間)","","1万3000発","https://hanabi.walkerplus.com/detail/ar0313e00857/"
5,"東京競馬場花火 2025 〜花火と聴きたい J-POP BEST〜","2025-07-02","2025-07-02","東京都府中市 JRA東京競馬場","","","https://hanabi.walkerplus.com/detail/ar0313e436729/"
6,"第50回 江戸川区花火大会","2025-08-02","2025-08-02","東京都江戸川区 江戸川河川敷(都立篠崎公園先)","","1000発","https://hanabi.walkerplus.com/detail/ar0313e00863/"
7,"2025 神宮外苑花火大会","2025-08-16","2025-08-16","東京都新宿区 明治神宮外苑","","","https://hanabi.walkerplus.com/detail/ar0313e00876/"
8,"第40回 調布花火","2025-09-20","2025-09-20","東京都調布市 調布市多摩川周辺","","70発","https://hanabi.walkerplus.com/detail/ar0313e00881/"
9,"第11回 北区花火会","2024-09-28","2024-09-28","東京都北区 荒川河川敷・岩淵水門周辺","","1万発","https://hanabi.walkerplus.com/detail/ar0313e322754/"
10,"第47回 世田谷区たまがわ花火大会","2025-10-04","2025-10-04","東京都世田谷区 区立二子玉川緑地運動場(二子橋上流)","","","https://hanabi.walkerplus.com/detail/ar0313e355272/"